FIPS,cntyName.ihme2,obsty_male_2011,obsty_female_2011,phys_act_male_2011,phys_act_female_2011
13209,"Montgomery, GA",39.4,46.1,51.21,47.39
13211,"Morgan, GA",38.12,39.96,48.52,52.41
13213,"Murray, GA",40.36,42.66,39.11,41.34
13215,"Muscogee, GA",37.42,44.88,55.81,45.71
13217,"Newton, GA",38.12,38.84,49.37,49.56
13219,"Oconee, GA",33.44,30.9,61.06,59.31
13221,"Oglethorpe, GA",40.14,40.39,46.89,47.83
13223,"Paulding, GA",38.03,33.05,56.27,52.7
13225,"Peach, GA",39.77,43.92,51.03,43.74
13227,"Pickens, GA",36.2,34.54,54.03,51.13
13229,"Pierce, GA",39.46,43.74,45.76,42.48
13231,"Pike, GA",38.64,41.06,51.45,46.48
13233,"Polk, GA",36.55,40.35,48.35,42.7
13235,"Pulaski, GA",41.43,47.16,48.18,37.25
13237,"Putnam, GA",37.24,41.7,53.78,51.36
13239,"Quitman, GA",45.25,54.41,40.67,32.92
13241,"Rabun, GA",35.02,36.91,58.93,51.64
13243,"Randolph, GA",43.95,55.02,43.63,36.25
13245,"Richmond, GA",36.56,44.06,55.44,43
13247,"Rockdale, GA",33.49,38.04,54.94,49.69
13249,"Schley, GA",41.7,47.05,42.01,38.88
13251,"Screven, GA",42.95,50.39,46.79,37.91
13253,"Seminole, GA",38.52,44.93,50.2,46.14
13255,"Spalding, GA",40.01,46.92,48.01,38.35
13257,"Stephens, GA",37.85,43.39,49.92,49.76
13259,"Stewart, GA",38.62,55.33,48.92,35.13
13261,"Sumter, GA",37.85,47.98,47.27,43.94
13263,"Talbot, GA",41.88,51.11,47.78,40.02
13265,"Taliaferro, GA",45.25,55.91,36.37,31.32
13267,"Tattnall, GA",39.93,49.76,44.82,42.08
13269,"Taylor, GA",41.98,48.45,42.49,38.55
13271,"Telfair, GA",39.78,46.95,45.72,38.69
13273,"Terrell, GA",44.33,57.39,38.45,34.05
13275,"Thomas, GA",34.56,44.5,51.3,53.37
13277,"Tift, GA",37.06,45.38,54.83,41.5
13279,"Toombs, GA",38.41,45.48,53.35,47.28
13281,"Towns, GA",35.57,35.44,55.35,52
13283,"Treutlen, GA",42.7,49,45.63,40.5
13285,"Troup, GA",38.27,41.37,53,44.59
13287,"Turner, GA",42.09,52.45,42.94,36.2
13289,"Twiggs, GA",43.69,52.27,39.82,32.59
13291,"Union, GA",33.4,33.94,53.7,52.55
13293,"Upson, GA",41.15,45.92,48.45,41.33
13295,"Walker, GA",40.47,41.21,48.43,41.66
13297,"Walton, GA",36.76,38.28,50.73,48.91
13299,"Ware, GA",38.05,44.64,48.24,44.41
13301,"Warren, GA",42.51,53.04,44.97,36.58
13303,"Washington, GA",40.81,50.18,50.42,41.24
13305,"Wayne, GA",40.63,42.94,48.32,47.77
13307,"Webster, GA",39.38,47.51,50.46,45.7
13309,"Wheeler, GA",41.67,49.45,45.8,41.23
13311,"White, GA",34.54,35.21,55.9,50.41
13313,"Whitfield, GA",38.67,39.19,43.7,40.23
13315,"Wilcox, GA",41.18,48.75,45.76,38.94
13317,"Wilkes, GA",41.21,47.37,45.47,39.31
13319,"Wilkinson, GA",39.5,45.93,49.63,43.11
13321,"Worth, GA",40.88,45.73,50.2,42.21
15001,"Hawaii, HI",29.15,28,66.81,64.35
15003,"Honolulu, HI",27.99,25.46,65.08,59.19
15005,"Kalawao, HI",30.25,28.05,68.36,65.9
15007,"Kauai, HI",26.89,25.59,71.6,65.7
15009,"Maui, HI",30.25,28.05,68.36,65.9
16001,"Ada, ID",31.42,30.22,64.78,63.76
16003,"Adams, ID",36.52,36.72,56.65,54.73
16005,"Bannock, ID",35.44,37.02,60.07,60.74
16007,"Bear Lake, ID",33,32.27,59.75,58.85
16009,"Benewah, ID",35.12,36.21,56.37,55.29
16011,"Bingham, ID",38.33,42.59,55.7,52.26
16013,"Blaine, ID",28.14,24.26,69.43,62.79
16015,"Boise, ID",36.98,38.04,58.41,56.3
16017,"Bonner, ID",29.94,31.19,66.53,59.82
16019,"Bonneville, ID",36.9,34.3,61.84,58.71
16021,"Boundary, ID",33.59,35.42,57.22,52.78
16023,"Butte, ID",35.17,34.2,57.98,58.24
16025,"Camas, ID",36.39,34.37,56.11,55.61
16027,"Canyon, ID",35.46,41.22,53.8,55.89
16029,"Caribou, ID",37.46,36.39,58.61,57.36
16031,"Cassia, ID",39.18,39.51,53.45,51.93
16033,"Clark, ID",38.86,40.97,48.33,47.19
16035,"Clearwater, ID",34.58,36.22,57.5,54.97
16037,"Custer, ID",34.3,33.18,59.77,57.88
16039,"Elmore, ID",34.91,36.09,61.6,56.04
16041,"Franklin, ID",34.48,33.9,59.97,58.45
16043,"Fremont, ID",31.86,30.26,58.06,58.4
16045,"Gem, ID",36.84,40.37,57.39,52.2
16047,"Gooding, ID",38.28,40.74,50.1,53.58
16049,"Idaho, ID",35.23,35.61,57.27,58.45
16051,"Jefferson, ID",38.16,35.36,49.7,54.97
16053,"Jerome, ID",38.35,44.04,47,50.37
16055,"Kootenai, ID",31.56,32.5,66.12,61.82
16057,"Latah, ID",30.77,33.66,64.89,58.76
16059,"Lemhi, ID",33.99,33.04,58.98,58.62
16061,"Lewis, ID",35.45,36.54,57.59,56.17
16063,"Lincoln, ID",36.5,38.49,53.14,52.65
16065,"Madison, ID",35.8,34.96,57.99,56.39
16067,"Minidoka, ID",37.6,41.99,52.76,46.8
16069,"Nez Perce, ID",37.7,38.52,58.62,55.63
16071,"Oneida, ID",35.23,34.58,60.03,59.95
16073,"Owyhee, ID",38.02,43.86,51.6,49.74
16075,"Payette, ID",34.16,38.28,57.3,54.1
16077,"Power, ID",37.41,37.83,55.78,54.95
16079,"Shoshone, ID",36.76,36.9,52.81,51.86
16081,"Teton, ID",31.19,29.18,61.32,60.77
16083,"Twin Falls, ID",33.02,38.28,59.98,56.37
16085,"Valley, ID",32.82,32.61,61.9,59.72
16087,"Washington, ID",37.22,39.48,53.16,49.47
17001,"Adams, IL",33.66,36.29,59.64,52.06
17003,"Alexander, IL",41.72,48.51,45.33,39.87
17005,"Bond, IL",35.89,37.36,55.95,51.23
17007,"Boone, IL",35.66,36.91,58.31,52.86
17009,"Brown, IL",38.43,39.52,51.21,46.69
17011,"Bureau, IL",36.13,36.47,54.9,50.73
17013,"Calhoun, IL",36.27,36.13,52.81,52.21
17015,"Carroll, IL",37.19,36.72,55.5,54.19
17017,"Cass, IL",38.68,39.18,52.26,48.8
17019,"Champaign, IL",32.22,36.33,58.52,56.5
17021,"Christian, IL",39.35,36.41,53.69,48.97
17023,"Clark, IL",39.28,38.63,55.92,51.83
17025,"Clay, IL",36.95,39.04,52.82,50.08
17027,"Clinton, IL",38.18,36.57,53.21,48.77
17029,"Coles, IL",36.78,37.9,60.72,51.78
17031,"Cook, IL",31.27,37.26,52.96,53.92
17033,"Crawford, IL",39.3,37.91,49.35,51.54
17035,"Cumberland, IL",36.73,36.97,56.37,50.04
17037,"DeKalb, IL",35.3,36.02,60,56.22
17039,"De Witt, IL",39.81,36.69,53.45,54.57
17041,"Douglas, IL",38.41,39.84,51.67,47.36
17043,"DuPage, IL",32.91,28.41,61.69,62.56
17045,"Edgar, IL",38.08,39.83,52.91,51.43
17047,"Edwards, IL",37.79,37.19,53.83,50.42
17049,"Effingham, IL",32.86,35.03,62.84,51.8
17051,"Fayette, IL",37.53,40.81,52.58,47.76
17053,"Ford, IL",39.03,38.19,53.39,49.12
17055,"Franklin, IL",38.24,39.07,52.45,45.29
17057,"Fulton, IL",38.26,40.11,50.62,49.24
17059,"Gallatin, IL",41.43,41.32,47.49,44.57
17061,"Greene, IL",37.15,38.87,54.45,50.46
17063,"Grundy, IL",39.26,35.04,54.43,52.43
17065,"Hamilton, IL",38.98,40.31,50.47,46.26
17067,"Hancock, IL",36.28,32.79,57.96,52.61
17069,"Hardin, IL",40.4,40.44,48.47,45.22
17071,"Henderson, IL",38.4,37.26,55.19,50.31
17073,"Henry, IL",37.9,34.62,56.17,50.29
17075,"Iroquois, IL",38.08,38.35,54.79,50.48
17077,"Jackson, IL",35.5,40.17,55.4,51.08
17079,"Jasper, IL",36.98,36.71,56.4,52.74
17081,"Jefferson, IL",36.84,39.43,54.11,47.34
17083,"Jersey, IL",36.18,36.11,53.02,52.98
17085,"Jo Daviess, IL",35.63,33.84,55.24,56.49
17087,"Johnson, IL",38.99,39.92,50.05,45.68
17089,"Kane, IL",37.07,36.27,52.53,53.13
17091,"Kankakee, IL",40.91,42.62,51.76,50.03
17093,"Kendall, IL",36.37,32.17,59.71,58.05
17095,"Knox, IL",38.94,39.06,52.48,47.82
17097,"Lake, IL",30.15,30.81,57.51,57.95
17099,"La Salle, IL",37.68,35.46,54.79,51.49
17101,"Lawrence, IL",42.72,39.62,48.74,45.65
17103,"Lee, IL",35.98,35.44,51.12,49.98
17105,"Livingston, IL",40.14,38.76,50.31,48.06
17107,"Logan, IL",40.38,40.58,54.22,49.75
17109,"McDonough, IL",35.99,36.04,57.07,52.56
17111,"McHenry, IL",32.83,33.15,57.35,59.29
17113,"McLean, IL",35.9,35.54,58.41,55.85
17115,"Macon, IL",39.91,38.93,55.04,49.25
17117,"Macoupin, IL",36.69,41.24,55.75,50.63
17119,"Madison, IL",35.51,37.72,58.11,53.65
17121,"Marion, IL",38.67,40.32,53.08,46.55
17123,"Marshall, IL",37,35.92,55.2,53.44
17125,"Mason, IL",37.87,39.31,54.41,49.85
17127,"Massac, IL",39.3,40.33,50.25,45.91
17129,"Menard, IL",38,37.39,56.81,53.62
17131,"Mercer, IL",38.28,36.75,53.03,50.92
17133,"Monroe, IL",36.96,34.11,57.26,54.11
17135,"Montgomery, IL",37.69,37.69,51.03,50.71
17137,"Morgan, IL",38.24,38.47,52.21,50
17139,"Moultrie, IL",39.55,39.42,49.97,49.7
17141,"Ogle, IL",36.11,36.07,54.5,52.51
17143,"Peoria, IL",33.15,37.78,56.48,52.82
17145,"Perry, IL",39.38,39.8,52.42,45.13
17147,"Piatt, IL",36.62,35.22,56.14,55.12
17149,"Pike, IL",36.63,36.78,53.84,51.15
17151,"Pope, IL",37.59,38.55,54.61,50.14
17153,"Pulaski, IL",40.41,46.19,47.78,41.77
17155,"Putnam, IL",37.72,36.43,53.64,50.6
17157,"Randolph, IL",40.69,40.36,51.06,47.28
17159,"Richland, IL",37.8,37.81,54.82,50.64
17161,"Rock Island, IL",35.31,37.26,53.07,52.43
17163,"St. Clair, IL",38.86,39.98,53.93,49.78
17165,"Saline, IL",39.26,40.51,50.99,45.22
17167,"Sangamon, IL",35.27,37.28,56.95,52
17169,"Schuyler, IL",37.36,37,56.13,51.6
17171,"Scott, IL",37.22,36.01,56.08,53.46
17173,"Shelby, IL",37.03,36.53,56.29,51.22
17175,"Stark, IL",38.09,36.62,55.59,51.8
17177,"Stephenson, IL",36.78,37.23,57.91,52.97
17179,"Tazewell, IL",35.9,35.87,56.7,52.38
17181,"Union, IL",38.2,40.49,51,47.62
17183,"Vermilion, IL",37.38,41.4,55.88,45.71
17185,"Wabash, IL",39.58,37.01,52.46,48.83
17187,"Warren, IL",37.31,38.22,54.66,49.03
17189,"Washington, IL",38.76,37.34,55.73,48.65
17191,"Wayne, IL",39.64,40.63,50.35,48.49
17193,"White, IL",39.63,39.4,52.3,49.14
17195,"Whiteside, IL",35.95,35.4,51.33,51.83
17197,"Will, IL",38.25,36.57,52.64,58.29
17199,"Williamson, IL",38.04,37.31,58.15,49.36
17201,"Winnebago, IL",35.51,38.46,56.73,51.65
17203,"Woodford, IL",35.93,34.29,59.37,55.57
18001,"Adams, IN",38.73,39.2,49.17,47.25
18003,"Allen, IN",35.84,42.68,57.67,50.34
18005,"Bartholomew, IN",35.83,35.33,49.75,50.47
18007,"Benton, IN",36.2,36.8,56.84,50.46
18009,"Blackford, IN",40.56,38.59,54.4,42.24
18011,"Boone, IN",29.65,36.13,54.86,52.37
18013,"Brown, IN",36.82,34.77,56.77,52.39
18015,"Carroll, IN",38.98,37.49,54.88,46.32
18017,"Cass, IN",40.17,41.7,54.48,44.36
18019,"Clark, IN",36.94,38.57,50.73,46.33
18021,"Clay, IN",40.17,41.61,50.61,50.16
18023,"Clinton, IN",37.41,41.36,51.1,44.12
18025,"Crawford, IN",38.6,41.25,48.89,45.09
18027,"Daviess, IN",39.87,43.24,46.56,43.3
18029,"Dearborn, IN",38.07,36.2,55.55,51.41
18031,"Decatur, IN",39.19,35.83,48.17,48.28
18033,"DeKalb, IN",34.7,38.42,55.1,55.03
18035,"Delaware, IN",39.22,41.45,52.93,38.92
18037,"Dubois, IN",35.49,37.87,52.54,51.57
18039,"Elkhart, IN",33.35,41.57,49.6,48.19
18041,"Fayette, IN",42.18,41.89,45.99,42.87
18043,"Floyd, IN",36.64,35.44,51.89,44.96
18045,"Fountain, IN",36.84,38.23,52.05,44.71
18047,"Franklin, IN",38.34,34.88,53.81,50.65
18049,"Fulton, IN",39.68,38.92,55.95,49.62
18051,"Gibson, IN",37.34,36.98,51.98,47.14
18053,"Grant, IN",37.85,41.38,54.19,42.6
18055,"Greene, IN",36.63,39.29,51.91,46.2
18057,"Hamilton, IN",27.34,29.32,58.51,54.84
18059,"Hancock, IN",35.84,35.19,55.57,49.16
18061,"Harrison, IN",38.53,36.06,48.98,45.13
18063,"Hendricks, IN",35.72,37.86,54.05,53.32
18065,"Henry, IN",40.91,39.18,47.35,45.31
18067,"Howard, IN",38.18,42.04,52.74,44.43
18069,"Huntington, IN",40.62,41.58,47.78,45.86
18071,"Jackson, IN",36.6,36.74,51.04,48.7
18073,"Jasper, IN",38.37,38.31,50.7,47.8
18075,"Jay, IN",40.97,40.63,48.49,43.21
18077,"Jefferson, IN",36.11,39.5,50.48,45.89
18079,"Jennings, IN",38.15,37.14,50.78,45.12
18081,"Johnson, IN",35.64,36.48,51.89,49.53
18083,"Knox, IN",39.25,37.86,47.4,47.38
18085,"Kosciusko, IN",36.04,39.27,51.89,48.7
18087,"LaGrange, IN",39.52,45.76,43.72,42.31
18089,"Lake, IN",39.2,43.74,50.71,46.95
18091,"LaPorte, IN",40.16,40.54,53.11,48.93
18093,"Lawrence, IN",36.21,39.36,53.05,46.02
18095,"Madison, IN",41.02,44.67,50.35,43.28
18097,"Marion, IN",34.16,41.26,49.71,46.09
18099,"Marshall, IN",36.67,38.12,52.52,50.55
18101,"Martin, IN",36.51,41.46,51.78,47.2
18103,"Miami, IN",38.08,43.27,51.68,44.23
18105,"Monroe, IN",32.12,32.56,58.34,55.15
18107,"Montgomery, IN",36.13,39.9,51.37,45.81
18109,"Morgan, IN",37.2,39.42,53.85,44.6
18111,"Newton, IN",39.13,41.63,51.27,48.76
18113,"Noble, IN",33.79,43.64,48.97,50.37
18115,"Ohio, IN",38.16,36.65,52.2,47.59
18117,"Orange, IN",36.8,42.01,45.71,46.44
18119,"Owen, IN",39.47,39.93,48.36,45.8
18121,"Parke, IN",39.3,42.52,49.26,44.33
18123,"Perry, IN",37.37,39.37,50.62,45.99
18125,"Pike, IN",38.93,39,50.83,49.93
18127,"Porter, IN",36.34,37.34,52.12,48.07
18129,"Posey, IN",37.77,37.05,53.96,50.46
18131,"Pulaski, IN",40.16,38.44,48.86,48.69
18133,"Putnam, IN",38.8,39.84,51.88,45.38
18135,"Randolph, IN",39.14,40.97,46.53,42.46
18137,"Ripley, IN",38.05,35.25,50.79,49.44
18139,"Rush, IN",38.99,37.14,48.76,47.92
18141,"St. Joseph, IN",35.54,39.41,58.98,47.69
18143,"Scott, IN",38.45,40.92,44.63,41.75
18145,"Shelby, IN",39.53,38.4,50.05,47.49
18147,"Spencer, IN",38.18,35.99,53.43,49.13
18149,"Starke, IN",41.96,41.29,45.12,44.93
18151,"Steuben, IN",37.22,38.39,55.57,54.81
18153,"Sullivan, IN",39.71,40.91,48.75,45.93
18155,"Switzerland, IN",39.62,40.87,46.75,44.57
18157,"Tippecanoe, IN",34.13,33.71,59.32,50.84
18159,"Tipton, IN",35.66,38.26,54.86,47.67
18161,"Union, IN",36.5,35.9,53.25,50.37
18163,"Vanderburgh, IN",35.53,39.94,53.38,44.52
18165,"Vermillion, IN",36.8,39.21,52.52,48.89
18167,"Vigo, IN",37.6,40.55,47.02,47.08
18169,"Wabash, IN",38.25,42.88,53.54,47.94
18171,"Warren, IN",37.37,38.37,51.34,45.04
18173,"Warrick, IN",35.65,35.05,62.31,50.28
18175,"Washington, IN",38.14,39.1,45.34,43.72
18177,"Wayne, IN",35.41,40.39,51.72,43.08
18179,"Wells, IN",39.18,36.82,52.64,46.89
18181,"White, IN",38.54,39.2,55.15,48.87
18183,"Whitley, IN",36.5,42.33,56.03,54.29
19001,"Adair, IA",37.32,33.95,54.98,54.9
19003,"Adams, IA",36.83,36.13,54.02,53.91
19005,"Allamakee, IA",36.69,34.76,57.48,51.89
19007,"Appanoose, IA",36.86,38.53,53.63,53.56
19009,"Audubon, IA",38.59,36.99,53.08,51.16
19011,"Benton, IA",38.5,38.01,52.65,54.7
19013,"Black Hawk, IA",35.76,37.04,53.51,50.29
19015,"Boone, IA",39.89,37.34,53.15,53.15
19017,"Bremer, IA",33.19,34.65,57.3,57.82
19019,"Buchanan, IA",37.07,37.05,52.26,50.51
19021,"Buena Vista, IA",38.88,35.99,50.42,53.08
19023,"Butler, IA",35.84,33.65,54.23,50.88
19025,"Calhoun, IA",36.49,35.73,56.23,54.53
19027,"Carroll, IA",36.11,37.28,55.45,47.74
19029,"Cass, IA",38.43,38.4,50.16,54.36
19031,"Cedar, IA",39.9,37.1,51.77,54.88
19033,"Cerro Gordo, IA",35.81,33.18,56.63,53.31
19035,"Cherokee, IA",36.55,34.59,55.69,54.02
19037,"Chickasaw, IA",36.5,35.48,56.47,51.76
19039,"Clarke, IA",38.62,36.95,55.71,50.51
19041,"Clay, IA",34.81,33.95,54.29,55.47
19043,"Clayton, IA",36.45,35.67,57.3,52.7
19045,"Clinton, IA",37.21,36.84,48.68,52.63
19047,"Crawford, IA",39.45,37.79,51.31,42.91
19049,"Dallas, IA",39.29,34.16,54.56,54.9
19051,"Davis, IA",37.47,38.25,51.2,51.86
19053,"Decatur, IA",36.27,35.99,50.95,50.34
19055,"Delaware, IA",37.45,38.33,53.65,52.12
19057,"Des Moines, IA",37.57,38.4,53.16,49.34
19059,"Dickinson, IA",34.13,33.3,57.92,57.09
19061,"Dubuque, IA",33.92,34.7,59.14,54.74
19063,"Emmet, IA",36.93,37.79,53.83,51.76
19065,"Fayette, IA",38.87,37.82,59.04,49.27
19067,"Floyd, IA",35.32,34.88,55.73,52.16
19069,"Franklin, IA",39.27,37.4,51.27,48.51
19071,"Fremont, IA",38.66,37.21,55.92,56.62
19073,"Greene, IA",38.77,38.82,52.14,49.69
19075,"Grundy, IA",36.14,34.04,56.28,53.72
19077,"Guthrie, IA",37.26,35.27,55.1,54.77
19079,"Hamilton, IA",39.13,34.76,54.95,53.51
19081,"Hancock, IA",36.45,36.12,55.45,53.48
19083,"Hardin, IA",37.15,36.39,55.68,53.24
19085,"Harrison, IA",39.06,35.73,54.29,49.59
19087,"Henry, IA",37.37,35.58,53.53,51.89
19089,"Howard, IA",37.04,36.03,55.47,50.83
19091,"Humboldt, IA",36.65,37.72,54.49,51.54
19093,"Ida, IA",37.37,34.25,55.08,51.99
19095,"Iowa, IA",37.59,37.46,55.86,53.41
19097,"Jackson, IA",37.41,36.58,57.97,55.38
19099,"Jasper, IA",39.08,39.99,53.11,50.92
19101,"Jefferson, IA",32.09,36.01,61.69,57.38
19103,"Johnson, IA",25.29,27.15,55.07,64.48
19105,"Jones, IA",36.4,36.22,58.12,55.51
19107,"Keokuk, IA",36.08,37.09,54.12,52.98
19109,"Kossuth, IA",34.79,36.8,54.69,53.08
19111,"Lee, IA",38.46,37.68,53.93,52.3
19113,"Linn, IA",36.31,35.17,54.56,52.95
19115,"Louisa, IA",39.89,42.51,49.92,49.24
19117,"Lucas, IA",37.59,40.25,54.23,50.92
19119,"Lyon, IA",35.23,34.4,52.46,51.62
19121,"Madison, IA",38.62,33.29,56.2,54.44
19123,"Mahaska, IA",35.71,37.48,53.12,51.81
19125,"Marion, IA",35.73,38.57,55.63,48.28
19127,"Marshall, IA",38.83,39.66,51.2,50.25
19129,"Mills, IA",38.21,33.37,57.6,53.9
19131,"Mitchell, IA",37.54,35.41,56.93,51.96
19133,"Monona, IA",36.9,34.96,54.37,48.43
19135,"Monroe, IA",35.76,37.38,53.54,52.46
19137,"Montgomery, IA",38.36,37.65,51.99,52.2
19139,"Muscatine, IA",40.37,43.06,48.31,51.93
19141,"OBrien, IA",35.35,35.81,49.59,55.29
19143,"Osceola, IA",37.27,37.14,52.28,51.09
19145,"Page, IA",38.36,37.29,56.35,51.76
19147,"Palo Alto, IA",39.01,37.44,53.59,52.73
19149,"Plymouth, IA",38.35,36.21,49.78,52.95
19151,"Pocahontas, IA",35.5,34.89,56.54,55.36
19153,"Polk, IA",35.9,35.41,52.86,52.86
19155,"Pottawattamie, IA",38.77,37.4,52.98,50.22
19157,"Poweshiek, IA",37,36.34,56.47,54.78
19159,"Ringgold, IA",36.04,34.22,56.25,52.36
19161,"Sac, IA",36.7,35.22,55.6,52.87
19163,"Scott, IA",36.42,34.71,57.15,54.34
19165,"Shelby, IA",38.9,35.99,54.24,49.52
19167,"Sioux, IA",36.07,34.81,49.42,48.66
19169,"Story, IA",34.66,34.27,56.56,56.76
19171,"Tama, IA",38.06,37.72,52.45,49.14
19173,"Taylor, IA",35.29,34.77,54.77,52.2
19175,"Union, IA",36.85,33.62,55.76,51.38
19177,"Van Buren, IA",37.62,36.7,54.16,55.37
19179,"Wapello, IA",36.13,37.56,46.88,51.7
19181,"Warren, IA",39.53,38.24,53.44,50.43
19183,"Washington, IA",37.5,38.05,54.4,52.04
19185,"Wayne, IA",36.13,37.42,54.02,53.97
19187,"Webster, IA",38.03,36.84,53.74,50.79
19189,"Winnebago, IA",36.13,33.68,56.98,52.64
19191,"Winneshiek, IA",35.12,32.47,59.26,53.17
19193,"Woodbury, IA",37.5,38.35,49.47,46.61
19195,"Worth, IA",39.48,35.43,56.8,53.61
19197,"Wright, IA",37.24,38.02,54.67,51.41
20001,"Allen, KS",39.1,42.43,53.54,51.07
20003,"Anderson, KS",38.47,40.84,52.7,47.49
20005,"Atchison, KS",39.45,41.79,53.45,45.39
20007,"Barber, KS",36.7,36.59,57.17,54.01
20009,"Barton, KS",38.52,41.06,48.81,51.33
20011,"Bourbon, KS",38.06,42.68,53.18,49.98
20013,"Brown, KS",35.94,38.3,55.54,51.89
20015,"Butler, KS",38.27,37.84,52.57,48.08
20017,"Chase, KS",38.93,36.95,55.46,51.26
20019,"Chautauqua, KS",37.48,40.36,52.62,47.89
20021,"Cherokee, KS",41.12,41.76,51.23,47.25
20023,"Cheyenne, KS",35.1,33.69,54.08,54.3
20025,"Clark, KS",36.17,35.78,57.45,57.16
20027,"Clay, KS",35.65,35.99,56.48,52.84
20029,"Cloud, KS",37.4,36.65,54.33,53.07
20031,"Coffey, KS",36.92,36.92,57.67,52.95
20033,"Comanche, KS",37.23,36.98,56.12,53.44
20035,"Cowley, KS",38.74,41.25,51.33,47.53
20037,"Crawford, KS",39.49,40.22,47.35,49.25
20039,"Decatur, KS",34.95,33.74,56.6,56.74
20041,"Dickinson, KS",37.33,39.18,47.34,50.89
20043,"Doniphan, KS",38.77,39.71,54.78,50.46
20045,"Douglas, KS",31.82,32.58,60.43,54.8
20047,"Edwards, KS",37.93,37.14,52.92,52.2
20049,"Elk, KS",38.22,37.8,56.71,50.19
20051,"Ellis, KS",35.8,34.14,53.03,54.37
20053,"Ellsworth, KS",36.75,37.21,56.36,56.71
20055,"Finney, KS",38.66,39.69,47.21,47.35
20057,"Ford, KS",39.25,43.63,44.34,43.91
20059,"Franklin, KS",38.29,39.45,53.07,48.29
20061,"Geary, KS",35.23,38.56,55.23,51.51
20063,"Gove, KS",34.37,33.15,57.41,56.85
20065,"Graham, KS",34.67,35.49,55.94,54.48
20067,"Grant, KS",37.47,37.97,55.21,53.86
20069,"Gray, KS",41.05,41.22,46.5,47.39
20071,"Greeley, KS",35.13,35.75,56.41,55.51
20073,"Greenwood, KS",36.88,36.04,57.13,52.21
20075,"Hamilton, KS",34.79,36.6,51.86,51.23
20077,"Harper, KS",37.62,39.25,52.49,50.54
20079,"Harvey, KS",37.7,38.3,49.81,46.85
20081,"Haskell, KS",39.49,41.14,46.78,46.64
20083,"Hodgeman, KS",37.25,36.36,56.77,56.39
20085,"Jackson, KS",36.18,38.56,58.17,52.16
20087,"Jefferson, KS",37.62,37.89,55.94,54.17
20089,"Jewell, KS",35.95,34.94,56.47,55.64
20091,"Johnson, KS",30.73,29.03,58.79,55.52
20093,"Kearny, KS",37.42,39.06,49.86,50
20095,"Kingman, KS",38.29,39.19,54.16,49.07
20097,"Kiowa, KS",35.83,35.24,58.2,56.37
20099,"Labette, KS",37.86,41.91,47.77,46.77
20101,"Lane, KS",37.91,36.06,55.25,54.63
20103,"Leavenworth, KS",36.67,39.52,53.42,48.77
20105,"Lincoln, KS",35.62,37.44,55.23,55.44
20107,"Linn, KS",37.69,40.54,53.9,48.02
20109,"Logan, KS",34.85,32.58,55.99,55.14
20111,"Lyon, KS",39.03,38.46,47.61,50.13
20113,"McPherson, KS",38.81,37.52,49.48,54.29
20115,"Marion, KS",38.85,38.44,54.6,49.85
20117,"Marshall, KS",37.26,34.86,54.69,53.75
20119,"Meade, KS",36.96,36.79,53.27,53.95
20121,"Miami, KS",36.99,38.86,60.68,50.09
20123,"Mitchell, KS",36.57,36.5,55.35,54.95
20125,"Montgomery, KS",38.11,39.2,54.47,47.58
20127,"Morris, KS",36.86,35.59,57.18,51.62
20129,"Morton, KS",34.31,34.3,56.22,52.34
20131,"Nemaha, KS",34.95,33.87,57.26,56.8
20133,"Neosho, KS",39.28,39.15,47.72,47.71
20135,"Ness, KS",36.68,34.67,57.43,57.38
20137,"Norton, KS",35.76,35.57,55.23,52.67
20139,"Osage, KS",38.53,40.9,53.23,48.69
20141,"Osborne, KS",35.84,35.6,54.1,53.26
20143,"Ottawa, KS",36.34,37.59,53.63,53.17
20145,"Pawnee, KS",37.1,36.56,57.04,55.57
20147,"Phillips, KS",35.98,34.93,56.39,53.8
20149,"Pottawatomie, KS",37.29,35.76,54.03,54.52
20151,"Pratt, KS",37.61,35.74,55.89,50.91
20153,"Rawlins, KS",36.53,34.84,56.55,57.29
20155,"Reno, KS",36.67,39.09,53.2,52.51
20157,"Republic, KS",34.46,33.52,58.62,57.42
20159,"Rice, KS",36.07,37.16,56.57,56.41
20161,"Riley, KS",32.02,33.08,59.74,55.48
20163,"Rooks, KS",35.44,34.53,56.25,54.36
20165,"Rush, KS",37.36,36.67,53.73,53.43
20167,"Russell, KS",36.59,36.74,55.79,54
20169,"Saline, KS",37.14,41.6,53.82,51.74
20171,"Scott, KS",37.78,37.12,56.53,53.52
20173,"Sedgwick, KS",34.89,38.97,50.06,47.91
20175,"Seward, KS",38.57,42.22,41.72,42.56
20177,"Shawnee, KS",38.14,39.55,56.45,50.03
20179,"Sheridan, KS",34.91,34.07,57.78,56.84
20181,"Sherman, KS",37.4,35.46,54.14,53.48
20183,"Smith, KS",35.22,34.51,54.68,52.46
20185,"Stafford, KS",37.62,37.73,54.38,52.81
20187,"Stanton, KS",38.89,40.54,48.02,46.94
20189,"Stevens, KS",36.32,36.66,55.05,51.28
20191,"Sumner, KS",39.61,41.46,52.45,48.16
20193,"Thomas, KS",37.38,33.63,56.3,55.28
20195,"Trego, KS",36.25,35.83,54.9,55.11
20197,"Wabaunsee, KS",37.23,35.41,58.88,52.14
20199,"Wallace, KS",36.9,36.67,55.45,53.71
20201,"Washington, KS",36.63,35.87,53.88,52.38
