FIPS,cntyName.ihme2,obsty_male_2011,obsty_female_2011,phys_act_male_2011,phys_act_female_2011
04025,"Yavapai, AZ",29.68,29.22,63.25,58.82
04027,"Yuma, AZ",39.04,41.39,48.92,48.87
05001,"Arkansas, AR",40,44.9,48.12,39.15
05003,"Ashley, AR",38.84,45.48,52.85,41.24
05005,"Baxter, AR",34.73,34.04,57.44,50.04
05007,"Benton, AR",35.82,34.02,57.15,51.4
05009,"Boone, AR",34.49,33.15,52.78,50.67
05011,"Bradley, AR",38.92,46.68,47.97,38.43
05013,"Calhoun, AR",39.29,44.74,50.13,42.29
05015,"Carroll, AR",36.01,33.62,51.8,48.79
05017,"Chicot, AR",41.79,52.36,44.17,35.09
05019,"Clark, AR",38.76,40.05,50.8,46.17
05021,"Clay, AR",42.02,42.39,44.17,40.05
05023,"Cleburne, AR",37.59,36.17,50.97,49.83
05025,"Cleveland, AR",38.35,40.58,53.88,47.54
05027,"Columbia, AR",38.98,43.48,55.65,43.38
05029,"Conway, AR",38.88,39.84,49.98,49.69
05031,"Craighead, AR",37.41,37.57,49.62,45.12
05033,"Crawford, AR",37.45,38.51,49.17,46.09
05035,"Crittenden, AR",38.19,50.18,48.32,37.27
05037,"Cross, AR",40.22,44.56,50.9,39.21
05039,"Dallas, AR",40.61,47.14,48.8,38.59
05041,"Desha, AR",40.23,48.57,48.54,37.12
05043,"Drew, AR",37.8,42.99,54.94,44.86
05045,"Faulkner, AR",37.25,34.22,54.35,49.92
05047,"Franklin, AR",35.73,36.87,50.44,48.78
05049,"Fulton, AR",38.45,36.75,50.06,47.96
05051,"Garland, AR",35.4,35.28,56.89,47.69
05053,"Grant, AR",38.27,40.13,52.7,42.41
05055,"Greene, AR",41.49,38.5,47.63,42.52
05057,"Hempstead, AR",41.84,43.65,50.17,44.05
05059,"Hot Spring, AR",38.54,40.82,49.76,40.07
05061,"Howard, AR",41.47,43.66,47.53,44.63
05063,"Independence, AR",36.85,37.19,50.34,45.07
05065,"Izard, AR",37.81,35.05,49.52,46.82
05067,"Jackson, AR",41.72,45.64,45.4,35.2
05069,"Jefferson, AR",38.98,49.39,48.78,39.04
05071,"Johnson, AR",39.57,39.41,47.94,44.3
05073,"Lafayette, AR",42.63,45.78,47.38,42.04
05075,"Lawrence, AR",43.18,40.4,44.09,40.47
05077,"Lee, AR",42.44,56.12,43.54,33.1
05079,"Lincoln, AR",42.7,47.14,43.81,36.75
05081,"Little River, AR",40.92,41.61,48.16,43.75
05083,"Logan, AR",37.96,38.29,45.85,44.25
05085,"Lonoke, AR",39.98,37.84,51.3,43.53
05087,"Madison, AR",38.13,38.92,51.15,46.46
05089,"Marion, AR",38.53,36.57,53.6,54.47
05091,"Miller, AR",40.34,44.04,46.93,45.22
05093,"Mississippi, AR",41.25,48.28,42.82,36.84
05095,"Monroe, AR",41.74,51.48,43.88,36.07
05097,"Montgomery, AR",38.77,37.84,49.25,47.82
05099,"Nevada, AR",42.91,44.26,47.06,41.14
05101,"Newton, AR",38.07,38.38,49.66,49.33
05103,"Ouachita, AR",39.82,47.53,47.29,43.18
05105,"Perry, AR",39.03,37.08,51.61,45.77
05107,"Phillips, AR",40.29,53.78,47.1,31.42
05109,"Pike, AR",40.62,37.29,48.59,46.69
05111,"Poinsett, AR",42.38,46.08,41.4,36.25
05113,"Polk, AR",38.49,39.4,50.06,45.55
05115,"Pope, AR",37.05,38.34,50.34,49.78
05117,"Prairie, AR",40.75,43.59,45.59,39.51
05119,"Pulaski, AR",34.31,37.88,53.32,44.68
05121,"Randolph, AR",41.95,37.04,49.58,46.72
05123,"St. Francis, AR",40.85,52.14,46.15,38.46
05125,"Saline, AR",34.98,38.46,58.9,45.95
05127,"Scott, AR",37.42,39.3,47.07,43.94
05129,"Searcy, AR",38.69,42.27,44.66,45.67
05131,"Sebastian, AR",33.25,34.44,49.98,46.8
05133,"Sevier, AR",40.74,46.35,44.38,39.39
05135,"Sharp, AR",40,34.87,51.38,51.55
05137,"Stone, AR",36.92,38.37,50.25,47.97
05139,"Union, AR",35.58,44,55.72,40.99
05141,"Van Buren, AR",36.46,39.3,53,51.75
05143,"Washington, AR",34.29,34.98,51.76,50.4
05145,"White, AR",37.87,39.6,49.79,44.89
05147,"Woodruff, AR",42.08,49.1,44.27,36.64
05149,"Yell, AR",39.98,40.36,43.09,45.88
06001,"Alameda, CA",24.05,30.57,64.25,63.56
06003,"Alpine, CA",32.07,33.97,62.26,61.14
06005,"Amador, CA",34.03,35.1,59.4,55.34
06007,"Butte, CA",31.58,34.29,61.98,58.97
06009,"Calaveras, CA",34.42,34.78,61.52,62.69
06011,"Colusa, CA",37.27,39.69,51.75,51.84
06013,"Contra Costa, CA",31.79,30.8,67.69,65.32
06015,"Del Norte, CA",37.01,40.23,57.09,56.91
06017,"El Dorado, CA",27.05,27.46,64.75,62.65
06019,"Fresno, CA",38.3,41.91,54.38,54.89
06021,"Glenn, CA",35.75,38.79,55.59,53.37
06023,"Humboldt, CA",31.77,34.82,65.18,62.75
06025,"Imperial, CA",36.99,42.9,46.07,45.23
06027,"Inyo, CA",34.55,34.83,57.74,57.58
06029,"Kern, CA",37.07,41.04,53.8,52.66
06031,"Kings, CA",37.39,41.63,49.64,53.57
06033,"Lake, CA",33.27,37.49,60.78,58.75
06035,"Lassen, CA",34.71,35.26,59.47,55.78
06037,"Los Angeles, CA",27.12,33.72,59.52,55.52
06039,"Madera, CA",39.16,42.29,53.25,52.1
06041,"Marin, CA",22.94,21.08,70.1,74.24
06043,"Mariposa, CA",36.26,35.36,59.39,61.98
06045,"Mendocino, CA",31.27,33.43,62.95,60.37
06047,"Merced, CA",41.81,45.43,53.07,50.63
06049,"Modoc, CA",34.6,36.07,58.09,57.31
06051,"Mono, CA",33.86,31.73,61.76,60.86
06053,"Monterey, CA",33.9,34.39,60.07,56.42
06055,"Napa, CA",31.52,32.93,63.38,63.21
06057,"Nevada, CA",28.03,27.32,71.89,65.18
06059,"Orange, CA",27.04,27.68,63.4,61.91
06061,"Placer, CA",28.01,26,68.94,64.97
06063,"Plumas, CA",32.2,32.52,63.69,64.25
06065,"Riverside, CA",35.21,36.01,58.05,58.06
06067,"Sacramento, CA",32.24,36.72,64.36,57.83
06069,"San Benito, CA",36.16,38.23,61.43,58.2
06071,"San Bernardino, CA",33.58,38.82,58.27,55.35
06073,"San Diego, CA",29.61,30.62,65.33,62.47
06075,"San Francisco, CA",18.35,20.87,65.77,64.59
06077,"San Joaquin, CA",35.5,40.2,55.33,57.09
06079,"San Luis Obispo, CA",29.89,29.32,65.11,66.27
06081,"San Mateo, CA",22.79,25.47,67.61,64.58
06083,"Santa Barbara, CA",30.12,29.76,61.88,61.01
06085,"Santa Clara, CA",23.92,27.96,63.62,64.56
06087,"Santa Cruz, CA",28.82,29.03,62.61,65.4
06089,"Shasta, CA",33.71,34.42,63.29,57.69
06091,"Sierra, CA",32.51,32.35,61.21,60.29
06093,"Siskiyou, CA",32.58,34.81,62.32,63.69
06095,"Solano, CA",32.63,37.03,62.04,60.93
06097,"Sonoma, CA",29.27,30.51,65.93,67.89
06099,"Stanislaus, CA",36.33,42.26,56.86,54.94
06101,"Sutter, CA",32.12,34.51,57.77,58.22
06103,"Tehama, CA",34.57,36.58,60.32,58.25
06105,"Trinity, CA",32.32,33.57,62.13,63.2
06107,"Tulare, CA",38.51,43.72,51.55,53.1
06109,"Tuolumne, CA",31.84,32.57,61.04,61.28
06111,"Ventura, CA",31.66,29.9,61.83,58.82
06113,"Yolo, CA",32.49,33.96,64.09,64.59
06115,"Yuba, CA",35.3,40.06,55.84,55.99
08001,"Adams, CO",27.59,28.48,63.98,62.56
08003,"Alamosa, CO",30.29,33.86,59.63,57.5
08005,"Arapahoe, CO",25.69,27.19,66.21,62.01
08007,"Archuleta, CO",27.88,26.36,65.78,62.22
08009,"Baca, CO",35.9,37.33,53.28,51.14
08011,"Bent, CO",38.25,43.79,51.83,47.96
08013,"Boulder, CO",27.59,28.48,63.98,62.56
08014,"Broomfield, CO",27.59,28.48,63.98,62.56
08015,"Chaffee, CO",24.13,23.95,64.21,64.08
08017,"Cheyenne, CO",36.66,37.43,52.55,52.55
08019,"Clear Creek, CO",26.89,25.84,68.22,65.63
08021,"Conejos, CO",30.57,33.57,58.94,54.83
08023,"Costilla, CO",33.59,39.06,54.91,50.06
08025,"Crowley, CO",37.71,46.94,44.06,42.71
08027,"Custer, CO",32.44,30.96,61.26,61.5
08029,"Delta, CO",28.11,27.69,65.08,60.75
08031,"Denver, CO",23.83,28.17,64.94,62.31
08033,"Dolores, CO",30.07,30.2,59.57,58.92
08035,"Douglas, CO",24.31,18.55,70.8,66.67
08037,"Eagle, CO",22,20.89,70.32,69.63
08039,"Elbert, CO",27.96,24,59.19,66.17
08041,"El Paso, CO",25.9,28.5,62.87,63.65
08043,"Fremont, CO",31.31,29.83,60.5,57.96
08045,"Garfield, CO",26.73,24.29,65.72,64.83
08047,"Gilpin, CO",29.48,29.53,67.1,63.92
08049,"Grand, CO",25.89,24.96,71.37,67.13
08051,"Gunnison, CO",25.57,23.7,64.9,67.33
08053,"Hinsdale, CO",29.56,27.41,62.6,64.41
08055,"Huerfano, CO",35.09,38.67,55.69,51.43
08057,"Jackson, CO",28.47,29.9,62.23,62.48
08059,"Jefferson, CO",27.59,28.48,63.98,62.56
08061,"Kiowa, CO",35.34,35.2,57.91,57.31
08063,"Kit Carson, CO",36.66,37.95,52.85,51.03
