AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2019-20,40,5,0,48,955,98.3%
State,Alabama,All,2019-20,41,3.9,0,37,941,96.9%
State,Alabama,All,2019-20,42,4.5,0,46,"1,012",> 100%
State,Alabama,All,2019-20,43,4.4,2,42,"1,000",> 100%
State,Alabama,All,2019-20,44,5.7,2,53,962,99%
State,Alabama,All,2019-20,45,4.9,0,52,"1,054",> 100%
State,Alabama,All,2019-20,46,6.1,0,67,"1,099",> 100%
State,Alabama,All,2019-20,47,4.4,3,44,"1,062",> 100%
State,Alabama,All,2019-20,48,7.6,2,78,"1,049",> 100%
State,Alabama,All,2019-20,49,5.3,2,55,"1,072",> 100%
State,Alabama,All,2019-20,50,5.6,4,59,"1,117",> 100%
State,Alabama,All,2019-20,51,5.5,2,59,"1,117",> 100%
State,Alabama,All,2019-20,52,5.6,2,57,"1,059",> 100%
State,Alabama,All,2019-20,1,6.6,5,67,"1,094",> 100%
State,Alabama,All,2019-20,2,8,9,83,"1,148",> 100%
State,Alabama,All,2019-20,3,6.5,7,63,"1,076",> 100%
State,Alabama,All,2019-20,4,7.1,7,70,"1,085",> 100%
State,Alabama,All,2019-20,5,6.7,16,55,"1,055",> 100%
State,Alabama,All,2019-20,6,6.8,12,64,"1,124",> 100%
State,Alabama,All,2019-20,7,7.9,7,80,"1,104",> 100%
State,Alabama,All,2019-20,8,7.2,5,75,"1,115",> 100%
State,Alabama,All,2019-20,9,7.1,14,70,"1,183",> 100%
State,Alabama,All,2019-20,10,6.9,13,63,"1,097",> 100%
State,Alabama,All,2019-20,11,6.1,7,60,"1,101",> 100%
State,Alabama,All,2019-20,12,7.8,7,78,"1,088",> 100%
State,Alabama,All,2019-20,13,7.2,8,71,"1,093",> 100%
State,Alabama,All,2019-20,14,6.1,4,68,"1,176",> 100%
State,Alabama,All,2019-20,15,8,3,89,"1,145",> 100%
State,Alabama,All,2019-20,16,8.7,0,100,"1,155",> 100%
State,Alabama,All,2019-20,17,7.1,1,81,"1,152",> 100%
State,Alabama,All,2019-20,18,7.9,2,89,"1,157",> 100%
State,Alabama,All,2019-20,19,8.6,1,101,"1,189",> 100%
State,Alabama,All,2019-20,20,8.3,3,93,"1,163",> 100%
State,Alabama,All,2019-20,21,7.1,0,82,"1,149",> 100%
State,Alabama,All,2019-20,22,9.1,0,102,"1,117",> 100%
State,Alabama,All,2019-20,23,7.8,1,92,"1,188",> 100%
State,Alabama,All,2019-20,24,6.7,0,76,"1,142",> 100%
State,Alabama,All,2019-20,25,7.2,0,79,"1,092",> 100%
State,Alabama,All,2019-20,26,7.3,0,85,"1,164",> 100%
State,Alabama,All,2019-20,27,7.6,1,93,"1,230",> 100%
State,Alabama,All,2019-20,28,7.7,0,98,"1,273",> 100%
State,Alabama,All,2019-20,29,8,0,103,"1,281",> 100%
State,Alabama,All,2019-20,30,10.6,0,143,"1,348",> 100%
State,Alabama,All,2019-20,31,12.4,0,170,"1,376",> 100%
State,Alabama,All,2019-20,32,10.6,1,141,"1,340",> 100%
State,Alabama,All,2019-20,33,11.1,0,143,"1,285",> 100%
State,Alabama,All,2019-20,34,9,0,112,"1,244",> 100%
State,Alabama,All,2019-20,35,11.1,0,125,"1,125",> 100%
State,Alabama,All,2019-20,36,9.2,0,99,"1,072",> 100%
State,Alabama,All,2019-20,37,9.5,0,95,"1,002",> 100%
State,Alabama,All,2019-20,38,8.3,0,62,746,76.8%
State,Alabama,All,2019-20,39,3.9,0,13,331,34.1%
State,Alaska,All,2019-20,40,6.4,0,6,94,> 100%
State,Alaska,All,2019-20,41,7.4,0,7,94,> 100%
State,Alaska,All,2019-20,42,3.2,0,3,95,> 100%
State,Alaska,All,2019-20,43,5.7,0,4,70,86.1%
State,Alaska,All,2019-20,44,5.8,0,5,86,> 100%
State,Alaska,All,2019-20,45,7.1,0,7,98,> 100%
State,Alaska,All,2019-20,46,1.1,0,1,91,> 100%
State,Alaska,All,2019-20,47,4.3,0,4,94,> 100%
State,Alaska,All,2019-20,48,4.7,0,5,107,> 100%
State,Alaska,All,2019-20,49,6.9,1,6,102,> 100%
State,Alaska,All,2019-20,50,3.1,0,3,97,> 100%
State,Alaska,All,2019-20,51,3.6,1,2,84,> 100%
State,Alaska,All,2019-20,52,12.3,1,12,106,> 100%
