AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2020-21,40,8.7,0,96,"1,099",> 100%
State,Alabama,All,2020-21,41,8.9,1,106,"1,199",> 100%
State,Alabama,All,2020-21,42,7.7,0,90,"1,162",> 100%
State,Alabama,All,2020-21,43,9.5,1,104,"1,104",> 100%
State,Alabama,All,2020-21,44,9.4,0,103,"1,096",> 100%
State,Alabama,All,2020-21,45,8.3,0,92,"1,106",> 100%
State,Alabama,All,2020-21,46,10.3,1,103,"1,013",> 100%
State,Alabama,All,2020-21,47,7.8,1,56,732,75.4%
State,Alabama,All,2020-21,48,3.7,0,9,246,25.3%
State,Alaska,All,2020-21,40,0,0,0,68,83.6%
State,Alaska,All,2020-21,41,9.8,0,10,102,> 100%
State,Alaska,All,2020-21,42,5.6,0,5,89,> 100%
State,Alaska,All,2020-21,43,5.6,0,5,90,> 100%
State,Alaska,All,2020-21,44,12.2,0,10,82,> 100%
State,Alaska,All,2020-21,45,6.6,0,4,61,75%
State,Alaska,All,2020-21,46,7.1,0,4,56,68.9%
State,Alaska,All,2020-21,47,6.1,0,2,33,40.6%
State,Alaska,All,2020-21,48,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2020-21,40,6.8,0,80,"1,183",> 100%
State,Arizona,All,2020-21,41,6.4,0,79,"1,232",> 100%
State,Arizona,All,2020-21,42,6.5,0,80,"1,223",> 100%
State,Arizona,All,2020-21,43,7.1,0,90,"1,261",> 100%
State,Arizona,All,2020-21,44,7.6,0,97,"1,284",> 100%
State,Arizona,All,2020-21,45,9.8,0,129,"1,322",> 100%
State,Arizona,All,2020-21,46,9.1,0,104,"1,138",> 100%
State,Arizona,All,2020-21,47,11.6,0,121,"1,045",> 100%
State,Arizona,All,2020-21,48,11.3,0,47,416,40.1%
State,Arkansas,All,2020-21,40,13.1,0,102,777,> 100%
State,Arkansas,All,2020-21,41,13.9,0,109,784,> 100%
State,Arkansas,All,2020-21,42,14.3,1,109,771,> 100%
State,Arkansas,All,2020-21,43,15.1,0,117,773,> 100%
State,Arkansas,All,2020-21,44,12.6,2,93,753,> 100%
State,Arkansas,All,2020-21,45,11,1,87,801,> 100%
State,Arkansas,All,2020-21,46,11.4,0,87,765,> 100%
State,Arkansas,All,2020-21,47,10.4,0,61,589,98.3%
State,Arkansas,All,2020-21,48,9.7,0,20,207,34.5%
State,California,All,2020-21,40,8.4,0,472,"5,603",> 100%
State,California,All,2020-21,41,9.3,1,508,"5,497",> 100%
State,California,All,2020-21,42,7.8,0,428,"5,507",> 100%
State,California,All,2020-21,43,7.9,0,412,"5,239",> 100%
State,California,All,2020-21,44,7.9,0,424,"5,368",> 100%
State,California,All,2020-21,45,8,0,448,"5,576",> 100%
State,California,All,2020-21,46,8.5,0,454,"5,313",> 100%
State,California,All,2020-21,47,9.1,1,371,"4,084",83.1%
State,California,All,2020-21,48,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Colorado,All,2020-21,40,5.9,0,45,761,> 100%
State,Colorado,All,2020-21,41,5.8,0,45,779,> 100%
State,Colorado,All,2020-21,42,6.9,0,59,854,> 100%
State,Colorado,All,2020-21,43,7.2,0,61,846,> 100%
State,Colorado,All,2020-21,44,7.4,0,64,866,> 100%
State,Colorado,All,2020-21,45,9.3,0,87,933,> 100%
State,Colorado,All,2020-21,46,12.7,0,117,918,> 100%
State,Colorado,All,2020-21,47,7.9,0,56,710,> 100%
State,Colorado,All,2020-21,48,2.7,0,8,291,42%
State,Connecticut,All,2020-21,40,3.9,0,23,592,> 100%
State,Connecticut,All,2020-21,41,4.9,0,29,597,> 100%
State,Connecticut,All,2020-21,42,6.5,0,34,527,90.7%
State,Connecticut,All,2020-21,43,5.1,0,28,552,95%
State,Connecticut,All,2020-21,44,7.5,0,34,455,78.3%
State,Connecticut,All,2020-21,45,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2020-21,46,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2020-21,47,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2020-21,48,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Delaware,All,2020-21,40,7.8,0,15,192,> 100%
State,Delaware,All,2020-21,41,4.8,0,8,166,> 100%
State,Delaware,All,2020-21,42,1.2,0,2,163,99.4%
State,Delaware,All,2020-21,43,3.9,0,7,178,> 100%
State,Delaware,All,2020-21,44,7.4,0,11,149,90.9%
State,Delaware,All,2020-21,45,4.2,0,6,142,86.6%
State,Delaware,All,2020-21,46,7.6,0,10,131,79.9%
State,Delaware,All,2020-21,47,5.1,0,6,117,71.3%
State,Delaware,All,2020-21,48,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,District of Columbia,All,2020-21,40,11,0,10,91,97.7%
State,District of Columbia,All,2020-21,41,10.2,0,11,108,> 100%
State,District of Columbia,All,2020-21,42,5.6,0,5,89,95.6%
State,District of Columbia,All,2020-21,43,9.9,0,9,91,97.7%
State,District of Columbia,All,2020-21,44,9.3,0,9,97,> 100%
State,District of Columbia,All,2020-21,45,13.3,1,10,83,89.1%
State,District of Columbia,All,2020-21,46,9.7,0,7,72,77.3%
State,District of Columbia,All,2020-21,47,11.9,0,5,42,45.1%
State,District of Columbia,All,2020-21,48,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Florida,All,2020-21,40,9,1,388,"4,328",> 100%
State,Florida,All,2020-21,41,9.2,0,414,"4,485",> 100%
State,Florida,All,2020-21,42,9.7,0,420,"4,342",> 100%
State,Florida,All,2020-21,43,8.9,1,380,"4,293",> 100%
State,Florida,All,2020-21,44,9.3,0,392,"4,202",> 100%
State,Florida,All,2020-21,45,9.6,4,397,"4,192",> 100%
State,Florida,All,2020-21,46,10.4,2,430,"4,166",> 100%
State,Florida,All,2020-21,47,9.7,1,324,"3,353",91.4%
State,Florida,All,2020-21,48,6.1,0,89,"1,462",39.8%
State,Georgia,All,2020-21,40,7.6,0,138,"1,822",> 100%
State,Georgia,All,2020-21,41,8.1,0,146,"1,793",> 100%
State,Georgia,All,2020-21,42,9.3,2,162,"1,761",> 100%
State,Georgia,All,2020-21,43,8,1,138,"1,741",> 100%
State,Georgia,All,2020-21,44,9.6,0,160,"1,670",> 100%
State,Georgia,All,2020-21,45,8.6,0,138,"1,603",> 100%
State,Georgia,All,2020-21,46,10.2,1,142,"1,400",92.3%
State,Georgia,All,2020-21,47,8.3,0,69,832,54.8%
State,Georgia,All,2020-21,48,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Hawaii,All,2020-21,40,10.7,1,22,214,> 100%
State,Hawaii,All,2020-21,41,9.5,0,22,232,> 100%
State,Hawaii,All,2020-21,42,8.2,0,19,232,> 100%
State,Hawaii,All,2020-21,43,4.8,0,11,230,> 100%
State,Hawaii,All,2020-21,44,8.1,0,19,235,> 100%
State,Hawaii,All,2020-21,45,6.1,0,14,228,> 100%
State,Hawaii,All,2020-21,46,5.6,0,13,233,> 100%
State,Hawaii,All,2020-21,47,5.6,0,9,160,76.5%
State,Hawaii,All,2020-21,48,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Idaho,All,2020-21,40,6.3,0,20,317,> 100%
State,Idaho,All,2020-21,41,5.5,0,16,290,> 100%
State,Idaho,All,2020-21,42,7.4,1,23,325,> 100%
State,Idaho,All,2020-21,43,9.6,1,31,334,> 100%
State,Idaho,All,2020-21,44,12.9,1,43,341,> 100%
State,Idaho,All,2020-21,45,12,0,43,358,> 100%
State,Idaho,All,2020-21,46,10.9,0,43,396,> 100%
State,Idaho,All,2020-21,47,11,0,30,272,> 100%
State,Idaho,All,2020-21,48,10.8,0,9,83,33.1%
State,Illinois,All,2020-21,40,8.1,1,177,"2,207",> 100%
State,Illinois,All,2020-21,41,8.6,0,206,"2,389",> 100%
State,Illinois,All,2020-21,42,9.4,1,219,"2,333",> 100%
State,Illinois,All,2020-21,43,10.7,2,246,"2,325",> 100%
State,Illinois,All,2020-21,44,10.2,1,252,"2,480",> 100%
State,Illinois,All,2020-21,45,12.9,0,348,"2,697",> 100%
State,Illinois,All,2020-21,46,14.4,0,405,"2,807",> 100%
State,Illinois,All,2020-21,47,16.6,0,429,"2,588",> 100%
State,Illinois,All,2020-21,48,9.2,0,109,"1,183",58.1%
State,Indiana,All,2020-21,40,10.1,0,135,"1,343",> 100%
State,Indiana,All,2020-21,41,9.6,0,130,"1,357",> 100%
State,Indiana,All,2020-21,42,11.5,0,167,"1,452",> 100%
State,Indiana,All,2020-21,43,10.7,0,152,"1,422",> 100%
State,Indiana,All,2020-21,44,13.3,0,196,"1,471",> 100%
State,Indiana,All,2020-21,45,13.6,1,198,"1,464",> 100%
State,Indiana,All,2020-21,46,14.1,0,200,"1,421",> 100%
State,Indiana,All,2020-21,47,15.5,1,191,"1,237",> 100%
State,Indiana,All,2020-21,48,9.6,0,48,498,41.5%
State,Iowa,All,2020-21,40,7.8,0,53,680,> 100%
State,Iowa,All,2020-21,41,8.5,0,62,729,> 100%
State,Iowa,All,2020-21,42,11.2,0,77,687,> 100%
State,Iowa,All,2020-21,43,10.5,1,75,724,> 100%
State,Iowa,All,2020-21,44,9.4,0,68,723,> 100%
State,Iowa,All,2020-21,45,14.5,0,116,801,> 100%
State,Iowa,All,2020-21,46,15.6,0,123,788,> 100%
State,Iowa,All,2020-21,47,17.7,0,116,654,> 100%
State,Iowa,All,2020-21,48,14.1,0,44,313,55.3%
State,Kansas,All,2020-21,40,8.6,0,52,602,> 100%
State,Kansas,All,2020-21,41,9.2,0,60,655,> 100%
State,Kansas,All,2020-21,42,10.5,0,67,640,> 100%
State,Kansas,All,2020-21,43,11.7,0,77,659,> 100%
State,Kansas,All,2020-21,44,12.1,0,72,596,> 100%
State,Kansas,All,2020-21,45,11.8,0,77,655,> 100%
State,Kansas,All,2020-21,46,15.1,0,100,661,> 100%
State,Kansas,All,2020-21,47,13.4,0,76,567,> 100%
State,Kansas,All,2020-21,48,7.8,0,18,232,46.2%
State,Kentucky,All,2020-21,40,8.7,1,83,962,> 100%
State,Kentucky,All,2020-21,41,9.2,0,93,"1,013",> 100%
State,Kentucky,All,2020-21,42,12.4,0,128,"1,035",> 100%
State,Kentucky,All,2020-21,43,10.8,0,117,"1,082",> 100%
State,Kentucky,All,2020-21,44,11.9,1,115,977,> 100%
State,Kentucky,All,2020-21,45,11.6,0,112,964,> 100%
State,Kentucky,All,2020-21,46,12.2,0,97,795,89.8%
State,Kentucky,All,2020-21,47,11.8,1,57,492,55.6%
State,Kentucky,All,2020-21,48,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Louisiana,All,2020-21,40,7.9,0,77,970,> 100%
State,Louisiana,All,2020-21,41,8.2,0,79,962,> 100%
State,Louisiana,All,2020-21,42,8.1,0,73,905,> 100%
State,Louisiana,All,2020-21,43,7.6,0,67,885,> 100%
State,Louisiana,All,2020-21,44,7.7,0,60,781,92.4%
State,Louisiana,All,2020-21,45,8.4,0,65,778,92.1%
State,Louisiana,All,2020-21,46,4.9,0,32,650,76.9%
State,Louisiana,All,2020-21,47,6,0,23,384,45.5%
State,Louisiana,All,2020-21,48,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Maine,All,2020-21,40,4.2,0,12,288,> 100%
State,Maine,All,2020-21,41,8,0,24,299,> 100%
State,Maine,All,2020-21,42,4.4,0,12,273,> 100%
State,Maine,All,2020-21,43,4,0,11,277,> 100%
State,Maine,All,2020-21,44,5.4,0,15,277,> 100%
State,Maine,All,2020-21,45,6.3,0,21,333,> 100%
State,Maine,All,2020-21,46,8.4,0,27,320,> 100%
State,Maine,All,2020-21,47,7.8,1,22,294,> 100%
State,Maine,All,2020-21,48,6.9,0,15,217,80.5%
State,Maryland,All,2020-21,40,5.9,0,64,"1,094",> 100%
State,Maryland,All,2020-21,41,8.6,0,92,"1,076",> 100%
State,Maryland,All,2020-21,42,7.5,1,77,"1,046",> 100%
State,Maryland,All,2020-21,43,8.4,1,90,"1,078",> 100%
State,Maryland,All,2020-21,44,7.7,0,81,"1,053",> 100%
State,Maryland,All,2020-21,45,7.3,0,77,"1,057",> 100%
State,Maryland,All,2020-21,46,8.9,0,94,"1,055",> 100%
State,Maryland,All,2020-21,47,9.1,1,88,976,> 100%
State,Maryland,All,2020-21,48,8.5,0,40,472,52%
State,Massachusetts,All,2020-21,40,6.3,0,68,"1,072",99.5%
State,Massachusetts,All,2020-21,41,7.4,1,79,"1,080",> 100%
State,Massachusetts,All,2020-21,42,6.6,0,74,"1,117",> 100%
State,Massachusetts,All,2020-21,43,6,0,70,"1,168",> 100%
State,Massachusetts,All,2020-21,44,7.9,0,84,"1,057",98.1%
State,Massachusetts,All,2020-21,45,8.3,2,95,"1,172",> 100%
State,Massachusetts,All,2020-21,46,9,1,103,"1,157",> 100%
State,Massachusetts,All,2020-21,47,7.1,0,75,"1,060",98.3%
State,Massachusetts,All,2020-21,48,10,1,61,622,57.7%
State,Michigan,All,2020-21,40,5.8,1,116,"2,026",> 100%
State,Michigan,All,2020-21,41,6.3,0,136,"2,154",> 100%
State,Michigan,All,2020-21,42,7.3,0,148,"2,032",> 100%
State,Michigan,All,2020-21,43,7.6,0,164,"2,171",> 100%
State,Michigan,All,2020-21,44,7.2,1,153,"2,139",> 100%
State,Michigan,All,2020-21,45,10.9,2,241,"2,233",> 100%
State,Michigan,All,2020-21,46,12.9,0,280,"2,168",> 100%
State,Michigan,All,2020-21,47,12.6,0,176,"1,396",76.7%
