AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2020-21,40,8.7,0,96,"1,109",> 100%
State,Alabama,All,2020-21,41,8.9,1,107,"1,218",> 100%
State,Alabama,All,2020-21,42,7.7,0,92,"1,195",> 100%
State,Alabama,All,2020-21,43,9.5,1,107,"1,140",> 100%
State,Alabama,All,2020-21,44,9.5,0,111,"1,165",> 100%
State,Alabama,All,2020-21,45,8.5,0,107,"1,256",> 100%
State,Alabama,All,2020-21,46,9.7,1,121,"1,258",> 100%
State,Alabama,All,2020-21,47,8.8,2,105,"1,221",> 100%
State,Alabama,All,2020-21,48,8.9,0,111,"1,250",> 100%
State,Alabama,All,2020-21,49,10.5,1,123,"1,179",> 100%
State,Alabama,All,2020-21,50,11.9,1,150,"1,266",> 100%
State,Alabama,All,2020-21,51,10.6,0,98,922,94.9%
State,Alabama,All,2020-21,52,7.4,0,43,584,60.1%
State,Alabama,All,2020-21,53,5.8,1,15,276,28.4%
State,Alaska,All,2020-21,40,1.3,0,1,76,93.5%
State,Alaska,All,2020-21,41,8.8,0,10,114,> 100%
State,Alaska,All,2020-21,42,5.9,0,6,101,> 100%
State,Alaska,All,2020-21,43,7.9,0,8,101,> 100%
State,Alaska,All,2020-21,44,10.3,0,11,107,> 100%
State,Alaska,All,2020-21,45,7.4,0,7,95,> 100%
State,Alaska,All,2020-21,46,14.9,0,14,94,> 100%
State,Alaska,All,2020-21,47,7.3,0,7,96,> 100%
State,Alaska,All,2020-21,48,18.8,0,18,96,> 100%
State,Alaska,All,2020-21,49,15.9,1,10,69,84.9%
State,Alaska,All,2020-21,50,13.2,0,9,68,83.6%
State,Alaska,All,2020-21,51,7.9,0,3,38,46.7%
State,Alaska,All,2020-21,52,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Alaska,All,2020-21,53,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2020-21,40,6.8,0,81,"1,190",> 100%
State,Arizona,All,2020-21,41,6.4,0,79,"1,234",> 100%
State,Arizona,All,2020-21,42,6.6,0,81,"1,229",> 100%
State,Arizona,All,2020-21,43,7.1,0,90,"1,267",> 100%
State,Arizona,All,2020-21,44,7.6,0,98,"1,295",> 100%
State,Arizona,All,2020-21,45,9.7,0,131,"1,357",> 100%
State,Arizona,All,2020-21,46,9.7,0,120,"1,241",> 100%
State,Arizona,All,2020-21,47,12.8,0,190,"1,486",> 100%
State,Arizona,All,2020-21,48,15.2,0,221,"1,450",> 100%
State,Arizona,All,2020-21,49,18.1,0,281,"1,550",> 100%
State,Arizona,All,2020-21,50,19.5,0,309,"1,584",> 100%
State,Arizona,All,2020-21,51,19.6,0,252,"1,283",> 100%
State,Arizona,All,2020-21,52,17.1,0,169,991,95.6%
