AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2020-21,40,8.8,0,96,"1,086",> 100%
State,Alabama,All,2020-21,41,8.8,1,102,"1,171",> 100%
State,Alabama,All,2020-21,42,7.9,0,88,"1,118",> 100%
State,Alabama,All,2020-21,43,9.5,1,98,"1,040",> 100%
State,Alabama,All,2020-21,44,10.1,0,97,965,99.3%
State,Alabama,All,2020-21,45,9.1,0,71,778,80.1%
State,Alabama,All,2020-21,46,10.7,1,40,382,39.3%
State,Alaska,All,2020-21,40,0,0,0,64,78.7%
State,Alaska,All,2020-21,41,8.3,0,8,96,> 100%
State,Alaska,All,2020-21,42,6.1,0,5,82,> 100%
State,Alaska,All,2020-21,43,6.4,0,5,78,95.9%
State,Alaska,All,2020-21,44,15,0,9,60,73.8%
State,Alaska,All,2020-21,45,0,0,0,30,36.9%
State,Alaska,All,2020-21,46,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2020-21,40,6.8,0,80,"1,179",> 100%
State,Arizona,All,2020-21,41,6.3,0,77,"1,223",> 100%
State,Arizona,All,2020-21,42,6.4,0,78,"1,213",> 100%
State,Arizona,All,2020-21,43,7,0,87,"1,236",> 100%
State,Arizona,All,2020-21,44,7.4,0,90,"1,214",> 100%
State,Arizona,All,2020-21,45,8.1,0,89,"1,095",> 100%
State,Arizona,All,2020-21,46,5.2,0,28,541,52.2%
State,Arkansas,All,2020-21,40,12.9,0,100,773,> 100%
State,Arkansas,All,2020-21,41,13.9,0,108,779,> 100%
State,Arkansas,All,2020-21,42,14.2,1,107,760,> 100%
State,Arkansas,All,2020-21,43,15.2,0,113,741,> 100%
State,Arkansas,All,2020-21,44,11.8,2,81,704,> 100%
State,Arkansas,All,2020-21,45,10.2,1,64,638,> 100%
State,Arkansas,All,2020-21,46,8.7,0,27,309,51.6%
State,California,All,2020-21,40,8.4,0,468,"5,578",> 100%
State,California,All,2020-21,41,9.2,1,503,"5,462",> 100%
State,California,All,2020-21,42,7.8,0,426,"5,450",> 100%
State,California,All,2020-21,43,7.9,0,403,"5,109",> 100%
State,California,All,2020-21,44,7.6,0,375,"4,948",> 100%
State,California,All,2020-21,45,6.7,0,272,"4,087",83.1%
State,California,All,2020-21,46,6,0,120,"2,001",40.7%
State,Colorado,All,2020-21,40,5.8,0,44,758,> 100%
State,Colorado,All,2020-21,41,5.8,0,45,776,> 100%
State,Colorado,All,2020-21,42,6.8,0,58,850,> 100%
State,Colorado,All,2020-21,43,7.3,0,61,831,> 100%
State,Colorado,All,2020-21,44,6.7,0,55,818,> 100%
State,Colorado,All,2020-21,45,7.2,0,54,750,> 100%
State,Colorado,All,2020-21,46,6.2,0,21,340,49.1%
State,Connecticut,All,2020-21,40,4.2,0,23,550,94.7%
State,Connecticut,All,2020-21,41,3.9,0,19,490,84.3%
State,Connecticut,All,2020-21,42,5.8,0,23,400,68.8%
State,Connecticut,All,2020-21,43,4.4,0,13,298,51.3%
State,Connecticut,All,2020-21,44,8.7,0,14,161,27.7%
State,Connecticut,All,2020-21,45,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2020-21,46,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Delaware,All,2020-21,40,8,0,15,188,> 100%
State,Delaware,All,2020-21,41,4.3,0,7,162,98.8%
State,Delaware,All,2020-21,42,0.6,0,1,156,95.1%
State,Delaware,All,2020-21,43,3.7,0,6,164,> 100%
State,Delaware,All,2020-21,44,7,0,8,114,69.5%
State,Delaware,All,2020-21,45,5.7,0,5,88,53.7%
State,Delaware,All,2020-21,46,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,District of Columbia,All,2020-21,40,11.1,0,10,90,96.7%
State,District of Columbia,All,2020-21,41,10.5,0,11,105,> 100%
State,District of Columbia,All,2020-21,42,4.7,0,4,86,92.4%
State,District of Columbia,All,2020-21,43,11.1,0,9,81,87%
State,District of Columbia,All,2020-21,44,9.4,0,8,85,91.3%
State,District of Columbia,All,2020-21,45,13.3,0,6,45,48.3%
State,District of Columbia,All,2020-21,46,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Florida,All,2020-21,40,8.9,1,385,"4,320",> 100%
State,Florida,All,2020-21,41,9.2,0,412,"4,466",> 100%
State,Florida,All,2020-21,42,9.6,0,415,"4,315",> 100%
