AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2020-21,40,8.6,0,96,"1,118",> 100%
State,Alabama,All,2020-21,41,8.8,1,107,"1,226",> 100%
State,Alabama,All,2020-21,42,7.8,0,94,"1,202",> 100%
State,Alabama,All,2020-21,43,9.4,1,108,"1,156",> 100%
State,Alabama,All,2020-21,44,9.5,0,112,"1,184",> 100%
State,Alabama,All,2020-21,45,8.4,0,108,"1,282",> 100%
State,Alabama,All,2020-21,46,9.5,0,122,"1,287",> 100%
State,Alabama,All,2020-21,47,8.7,2,109,"1,272",> 100%
State,Alabama,All,2020-21,48,8.8,2,116,"1,335",> 100%
State,Alabama,All,2020-21,49,10.3,1,137,"1,337",> 100%
State,Alabama,All,2020-21,50,12.5,2,196,"1,578",> 100%
State,Alabama,All,2020-21,51,14.1,1,219,"1,564",> 100%
State,Alabama,All,2020-21,52,12.9,1,199,"1,556",> 100%
State,Alabama,All,2020-21,53,14.1,4,223,"1,615",> 100%
State,Alabama,All,2020-21,1,15,0,208,"1,383",> 100%
State,Alabama,All,2020-21,2,17.3,2,218,"1,272",> 100%
State,Alabama,All,2020-21,3,15.6,2,146,946,97.4%
State,Alabama,All,2020-21,4,16.1,0,62,385,39.6%
State,Alaska,All,2020-21,40,1.3,0,1,79,97.2%
State,Alaska,All,2020-21,41,9.4,0,11,117,> 100%
State,Alaska,All,2020-21,42,5.8,0,6,103,> 100%
State,Alaska,All,2020-21,43,7.8,0,8,102,> 100%
State,Alaska,All,2020-21,44,10.1,0,11,109,> 100%
State,Alaska,All,2020-21,45,7.5,0,8,107,> 100%
State,Alaska,All,2020-21,46,14.3,0,16,112,> 100%
State,Alaska,All,2020-21,47,6.3,0,7,111,> 100%
State,Alaska,All,2020-21,48,18.8,0,21,112,> 100%
State,Alaska,All,2020-21,49,19,1,19,105,> 100%
State,Alaska,All,2020-21,50,12.6,0,14,111,> 100%
State,Alaska,All,2020-21,51,12.5,0,10,80,98.4%
State,Alaska,All,2020-21,52,15.4,0,12,78,95.9%
State,Alaska,All,2020-21,53,7.4,0,4,54,66.4%
State,Alaska,All,2020-21,1,15.2,0,7,46,56.6%
State,Alaska,All,2020-21,2,5.6,0,3,54,66.4%
State,Alaska,All,2020-21,3,4.5,0,1,22,27.1%
State,Alaska,All,2020-21,4,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2020-21,40,6.8,0,81,"1,190",> 100%
State,Arizona,All,2020-21,41,6.4,0,79,"1,233",> 100%
State,Arizona,All,2020-21,42,6.6,0,81,"1,233",> 100%
State,Arizona,All,2020-21,43,7.1,0,90,"1,265",> 100%
State,Arizona,All,2020-21,44,7.6,0,99,"1,298",> 100%
State,Arizona,All,2020-21,45,9.7,0,132,"1,364",> 100%
State,Arizona,All,2020-21,46,9.7,0,121,"1,248",> 100%
State,Arizona,All,2020-21,47,12.6,0,190,"1,502",> 100%
State,Arizona,All,2020-21,48,15.7,0,234,"1,488",> 100%
State,Arizona,All,2020-21,49,18.8,0,312,"1,662",> 100%
State,Arizona,All,2020-21,50,21.6,1,416,"1,930",> 100%
State,Arizona,All,2020-21,51,26,0,525,"2,023",> 100%
State,Arizona,All,2020-21,52,26.4,0,555,"2,103",> 100%
State,Arizona,All,2020-21,53,27,2,550,"2,042",> 100%
State,Arizona,All,2020-21,1,25.8,0,465,"1,804",> 100%
State,Arizona,All,2020-21,2,27.3,0,462,"1,694",> 100%
State,Arizona,All,2020-21,3,27.6,0,422,"1,529",> 100%
State,Arizona,All,2020-21,4,23.7,0,166,701,67.7%
State,Arkansas,All,2020-21,40,13.1,0,102,779,> 100%
State,Arkansas,All,2020-21,41,14,0,111,795,> 100%
State,Arkansas,All,2020-21,42,14.7,1,114,783,> 100%
State,Arkansas,All,2020-21,43,15.1,0,119,789,> 100%
State,Arkansas,All,2020-21,44,12.7,2,97,777,> 100%
State,Arkansas,All,2020-21,45,11.8,1,98,839,> 100%
State,Arkansas,All,2020-21,46,12.9,0,112,871,> 100%
State,Arkansas,All,2020-21,47,13.5,0,116,862,> 100%
State,Arkansas,All,2020-21,48,16.4,0,135,824,> 100%
State,Arkansas,All,2020-21,49,16.8,2,155,934,> 100%
State,Arkansas,All,2020-21,50,15.2,0,134,883,> 100%
State,Arkansas,All,2020-21,51,16,2,140,886,> 100%
State,Arkansas,All,2020-21,52,16.1,0,139,863,> 100%
State,Arkansas,All,2020-21,53,19.1,1,166,874,> 100%
State,Arkansas,All,2020-21,1,19.7,1,146,747,> 100%
State,Arkansas,All,2020-21,2,20.3,0,143,706,> 100%
State,Arkansas,All,2020-21,3,20,0,119,596,99.5%
State,Arkansas,All,2020-21,4,15.5,0,50,322,53.7%
State,California,All,2020-21,40,8.6,0,482,"5,635",> 100%
State,California,All,2020-21,41,9.3,1,513,"5,530",> 100%
State,California,All,2020-21,42,7.9,1,438,"5,569",> 100%
State,California,All,2020-21,43,7.9,0,422,"5,329",> 100%
State,California,All,2020-21,44,8,1,438,"5,494",> 100%
State,California,All,2020-21,45,8.3,0,480,"5,813",> 100%
State,California,All,2020-21,46,8.6,0,513,"5,957",> 100%
State,California,All,2020-21,47,10.8,2,678,"6,316",> 100%
State,California,All,2020-21,48,12.2,1,771,"6,339",> 100%
State,California,All,2020-21,49,14.9,0,"1,045","7,025",> 100%
State,California,All,2020-21,50,17.5,2,"1,384","7,904",> 100%
State,California,All,2020-21,51,22.1,1,"1,936","8,764",> 100%
State,California,All,2020-21,52,24.4,2,"2,342","9,591",> 100%
State,California,All,2020-21,53,27.4,4,"2,507","9,157",> 100%
State,California,All,2020-21,1,29.5,2,"2,335","7,911",> 100%
State,California,All,2020-21,2,27.9,0,"1,834","6,569",> 100%
State,California,All,2020-21,3,25.9,1,"1,220","4,710",95.8%
State,California,All,2020-21,4,21.6,1,425,"1,968",40%
State,Colorado,All,2020-21,40,6,0,46,766,> 100%
State,Colorado,All,2020-21,41,6,0,47,783,> 100%
State,Colorado,All,2020-21,42,7.1,0,61,860,> 100%
State,Colorado,All,2020-21,43,7.4,0,63,855,> 100%
State,Colorado,All,2020-21,44,7.6,0,67,886,> 100%
State,Colorado,All,2020-21,45,10.5,0,103,985,> 100%
State,Colorado,All,2020-21,46,13.3,0,134,"1,009",> 100%
State,Colorado,All,2020-21,47,11.7,0,130,"1,111",> 100%
State,Colorado,All,2020-21,48,15.6,0,186,"1,195",> 100%
State,Colorado,All,2020-21,49,21.9,0,267,"1,221",> 100%
State,Colorado,All,2020-21,50,19.6,1,237,"1,215",> 100%
State,Colorado,All,2020-21,51,18.2,0,212,"1,168",> 100%
State,Colorado,All,2020-21,52,15.6,0,161,"1,033",> 100%
State,Colorado,All,2020-21,53,16.4,0,160,975,> 100%
State,Colorado,All,2020-21,1,11.5,0,95,823,> 100%
State,Colorado,All,2020-21,2,10.7,0,69,646,93.3%
State,Colorado,All,2020-21,3,8.4,0,47,557,80.4%
State,Colorado,All,2020-21,4,9.9,1,30,312,45.1%
State,Connecticut,All,2020-21,40,3.7,0,23,620,> 100%
State,Connecticut,All,2020-21,41,4.6,0,29,626,> 100%
State,Connecticut,All,2020-21,42,5.8,0,35,599,> 100%
State,Connecticut,All,2020-21,43,5.2,0,34,658,> 100%
State,Connecticut,All,2020-21,44,7.8,0,47,605,> 100%
State,Connecticut,All,2020-21,45,7.8,0,49,626,> 100%
State,Connecticut,All,2020-21,46,8.6,0,55,643,> 100%
State,Connecticut,All,2020-21,47,10,0,72,720,> 100%
State,Connecticut,All,2020-21,48,10.8,0,77,711,> 100%
State,Connecticut,All,2020-21,49,12.7,0,87,685,> 100%
State,Connecticut,All,2020-21,50,13.4,0,84,625,> 100%
State,Connecticut,All,2020-21,51,13.4,0,80,599,> 100%
State,Connecticut,All,2020-21,52,12.7,0,72,568,97.8%
State,Connecticut,All,2020-21,53,18.4,0,93,506,87.1%
State,Connecticut,All,2020-21,1,19,0,61,321,55.2%
State,Connecticut,All,2020-21,2,13,0,27,208,35.8%
State,Connecticut,All,2020-21,3,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2020-21,4,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Delaware,All,2020-21,40,8,0,16,200,> 100%
State,Delaware,All,2020-21,41,6.6,0,13,198,> 100%
State,Delaware,All,2020-21,42,4.6,0,9,197,> 100%
State,Delaware,All,2020-21,43,6,0,13,216,> 100%
State,Delaware,All,2020-21,44,8.4,0,16,191,> 100%
State,Delaware,All,2020-21,45,7.4,0,14,190,> 100%
