AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2020-21,40,8.6,0,96,"1,118",> 100%
State,Alabama,All,2020-21,41,8.8,1,107,"1,226",> 100%
State,Alabama,All,2020-21,42,7.8,0,94,"1,200",> 100%
State,Alabama,All,2020-21,43,9.5,1,108,"1,152",> 100%
State,Alabama,All,2020-21,44,9.4,0,111,"1,178",> 100%
State,Alabama,All,2020-21,45,8.4,0,107,"1,275",> 100%
State,Alabama,All,2020-21,46,9.6,1,122,"1,276",> 100%
State,Alabama,All,2020-21,47,8.7,2,107,"1,257",> 100%
State,Alabama,All,2020-21,48,8.8,1,115,"1,313",> 100%
State,Alabama,All,2020-21,49,10.5,1,136,"1,302",> 100%
State,Alabama,All,2020-21,50,12.5,1,189,"1,523",> 100%
State,Alabama,All,2020-21,51,13.6,1,193,"1,429",> 100%
State,Alabama,All,2020-21,52,11.5,1,150,"1,318",> 100%
State,Alabama,All,2020-21,53,11.5,1,147,"1,288",> 100%
State,Alabama,All,2020-21,1,10.9,0,108,994,> 100%
State,Alabama,All,2020-21,2,10.4,2,79,780,80.3%
State,Alabama,All,2020-21,3,10.7,0,33,307,31.6%
State,Alaska,All,2020-21,40,1.3,0,1,79,97.1%
State,Alaska,All,2020-21,41,9.4,0,11,117,> 100%
State,Alaska,All,2020-21,42,5.8,0,6,103,> 100%
State,Alaska,All,2020-21,43,7.8,0,8,102,> 100%
State,Alaska,All,2020-21,44,10.1,0,11,109,> 100%
State,Alaska,All,2020-21,45,7.9,0,8,101,> 100%
State,Alaska,All,2020-21,46,14.2,0,15,106,> 100%
State,Alaska,All,2020-21,47,6.5,0,7,108,> 100%
State,Alaska,All,2020-21,48,19.1,0,21,110,> 100%
State,Alaska,All,2020-21,49,19.6,1,18,97,> 100%
State,Alaska,All,2020-21,50,12.9,0,13,101,> 100%
State,Alaska,All,2020-21,51,10,0,7,70,86.1%
State,Alaska,All,2020-21,52,8.6,0,5,58,71.3%
State,Alaska,All,2020-21,53,6.4,0,3,47,57.8%
State,Alaska,All,2020-21,1,7.9,0,3,38,46.7%
State,Alaska,All,2020-21,2,2.4,0,1,41,50.4%
State,Alaska,All,2020-21,3,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2020-21,40,6.8,0,81,"1,190",> 100%
State,Arizona,All,2020-21,41,6.4,0,79,"1,234",> 100%
State,Arizona,All,2020-21,42,6.6,0,81,"1,233",> 100%
State,Arizona,All,2020-21,43,7.1,0,90,"1,265",> 100%
State,Arizona,All,2020-21,44,7.6,0,99,"1,297",> 100%
State,Arizona,All,2020-21,45,9.7,0,132,"1,364",> 100%
State,Arizona,All,2020-21,46,9.6,0,120,"1,247",> 100%
State,Arizona,All,2020-21,47,12.7,0,190,"1,500",> 100%
State,Arizona,All,2020-21,48,15.7,0,232,"1,480",> 100%
State,Arizona,All,2020-21,49,18.7,0,307,"1,645",> 100%
State,Arizona,All,2020-21,50,21.3,1,404,"1,899",> 100%
State,Arizona,All,2020-21,51,25.2,0,487,"1,935",> 100%
State,Arizona,All,2020-21,52,24.3,0,452,"1,860",> 100%
State,Arizona,All,2020-21,53,21.2,2,331,"1,574",> 100%
State,Arizona,All,2020-21,1,17.6,0,245,"1,390",> 100%
State,Arizona,All,2020-21,2,13.2,0,139,"1,055",> 100%
State,Arizona,All,2020-21,3,15,0,90,599,57.8%
State,Arkansas,All,2020-21,40,13.1,0,102,778,> 100%
State,Arkansas,All,2020-21,41,14,0,111,794,> 100%
State,Arkansas,All,2020-21,42,14.7,1,114,783,> 100%
State,Arkansas,All,2020-21,43,15.1,0,119,788,> 100%
State,Arkansas,All,2020-21,44,12.8,2,97,776,> 100%
State,Arkansas,All,2020-21,45,11.8,1,98,838,> 100%
State,Arkansas,All,2020-21,46,12.8,0,111,870,> 100%
State,Arkansas,All,2020-21,47,13.5,0,116,858,> 100%
State,Arkansas,All,2020-21,48,16.1,0,132,818,> 100%
State,Arkansas,All,2020-21,49,16.8,2,153,924,> 100%
State,Arkansas,All,2020-21,50,14.6,0,126,863,> 100%
State,Arkansas,All,2020-21,51,15.1,2,126,848,> 100%
State,Arkansas,All,2020-21,52,14.1,0,109,773,> 100%
State,Arkansas,All,2020-21,53,15.6,1,114,739,> 100%
State,Arkansas,All,2020-21,1,14.2,0,86,605,> 100%
State,Arkansas,All,2020-21,2,14,0,68,484,80.8%
State,Arkansas,All,2020-21,3,9.3,0,22,236,39.4%
State,California,All,2020-21,40,8.5,0,480,"5,633",> 100%
State,California,All,2020-21,41,9.3,1,511,"5,525",> 100%
State,California,All,2020-21,42,7.9,1,438,"5,568",> 100%
State,California,All,2020-21,43,7.9,0,422,"5,329",> 100%
State,California,All,2020-21,44,7.9,0,434,"5,486",> 100%
State,California,All,2020-21,45,8.2,0,477,"5,805",> 100%
State,California,All,2020-21,46,8.6,0,511,"5,948",> 100%
State,California,All,2020-21,47,10.7,2,674,"6,303",> 100%
State,California,All,2020-21,48,12.1,1,765,"6,306",> 100%
State,California,All,2020-21,49,14.8,0,"1,026","6,955",> 100%
State,California,All,2020-21,50,17.2,2,"1,323","7,684",> 100%
State,California,All,2020-21,51,20.1,1,"1,608","7,993",> 100%
State,California,All,2020-21,52,19.8,2,"1,491","7,538",> 100%
State,California,All,2020-21,53,18.4,1,"1,124","6,114",> 100%
State,California,All,2020-21,1,18,1,925,"5,155",> 100%
State,California,All,2020-21,2,14,0,513,"3,658",74.4%
State,California,All,2020-21,3,12.2,0,201,"1,650",33.6%
State,Colorado,All,2020-21,40,5.9,0,45,765,> 100%
State,Colorado,All,2020-21,41,6,0,47,783,> 100%
State,Colorado,All,2020-21,42,7.1,0,61,859,> 100%
State,Colorado,All,2020-21,43,7.4,0,63,855,> 100%
State,Colorado,All,2020-21,44,7.5,0,66,885,> 100%
State,Colorado,All,2020-21,45,10.5,0,103,985,> 100%
State,Colorado,All,2020-21,46,13.3,0,134,"1,008",> 100%
State,Colorado,All,2020-21,47,11.6,0,129,"1,109",> 100%
State,Colorado,All,2020-21,48,15.6,0,185,"1,188",> 100%
State,Colorado,All,2020-21,49,21.7,0,264,"1,218",> 100%
State,Colorado,All,2020-21,50,19.5,1,234,"1,204",> 100%
State,Colorado,All,2020-21,51,17.6,0,199,"1,129",> 100%
State,Colorado,All,2020-21,52,14.3,0,136,949,> 100%
State,Colorado,All,2020-21,53,12.4,0,96,775,> 100%
State,Colorado,All,2020-21,1,7,0,48,686,99.1%
State,Colorado,All,2020-21,2,4.5,0,23,516,74.5%
State,Colorado,All,2020-21,3,2.6,0,8,302,43.6%
State,Connecticut,All,2020-21,40,3.7,0,23,620,> 100%
State,Connecticut,All,2020-21,41,4.6,0,29,625,> 100%
State,Connecticut,All,2020-21,42,5.9,0,35,595,> 100%
State,Connecticut,All,2020-21,43,5,0,33,655,> 100%
State,Connecticut,All,2020-21,44,7.5,0,45,599,> 100%
State,Connecticut,All,2020-21,45,8,0,48,603,> 100%
State,Connecticut,All,2020-21,46,8.7,0,55,630,> 100%
State,Connecticut,All,2020-21,47,10.1,0,70,695,> 100%
State,Connecticut,All,2020-21,48,10.9,0,74,676,> 100%
State,Connecticut,All,2020-21,49,13.1,0,65,495,85.2%
State,Connecticut,All,2020-21,50,15.1,0,52,344,59.2%
State,Connecticut,All,2020-21,51,15.6,0,42,269,46.3%
State,Connecticut,All,2020-21,52,10.3,0,22,214,36.8%
State,Connecticut,All,2020-21,53,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2020-21,1,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2020-21,2,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Connecticut,All,2020-21,3,,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Delaware,All,2020-21,40,8,0,16,200,> 100%
State,Delaware,All,2020-21,41,6.6,0,13,198,> 100%
State,Delaware,All,2020-21,42,4.6,0,9,196,> 100%
State,Delaware,All,2020-21,43,5.6,0,12,213,> 100%
State,Delaware,All,2020-21,44,8.4,0,16,191,> 100%
State,Delaware,All,2020-21,45,7.1,0,13,182,> 100%
State,Delaware,All,2020-21,46,9.9,0,16,162,98.8%
State,Delaware,All,2020-21,47,7.2,0,15,207,> 100%
State,Delaware,All,2020-21,48,9.8,0,17,174,> 100%
State,Delaware,All,2020-21,49,8,0,14,174,> 100%
State,Delaware,All,2020-21,50,7.5,0,15,201,> 100%
State,Delaware,All,2020-21,51,9.4,0,20,212,> 100%
